code,name,period,submit_date,net_sales,net_sales_prev,inventories,inventories_prev,net_income,net_income_prev,operating_cf,operating_cf_prev,cash,cash_prev,debt,debt_prev,net_assets,net_assets_prev
6197,株式会社ソラスト,2025-03-31,2025-06-24T11:35:00,137435000000.0,135139000000.0,,,3960000000.0,2257000000.0,5877000000.0,7858000000.0,,,,,,
9647,株式会社協和コンサルタンツ,2024-11-30,2025-02-27T15:34:00,8061713000.0,7679762000.0,,,513195000.0,411643000.0,410790000.0,595318000.0,,,,,,
9644,株式会社タナベコンサルティンググループ,2025-03-31,2025-06-25T14:37:00,14543581000.0,12739254000.0,,,1100390000.0,687088000.0,1454676000.0,632233000.0,,,,,,
9640,株式会社セゾンテクノロジー,2025-03-31,2025-06-13T13:08:00,24383235000.0,23864278000.0,,,1506019000.0,603182000.0,1188322000.0,2280744000.0,,,,,,
9639,三協フロンテア株式会社,2025-03-31,2025-06-25T10:40:00,56084000000.0,52365000000.0,,,5462000000.0,5267000000.0,,,,,,,,
9629,ピー・シー・エー株式会社,2025-03-31,2025-06-19T15:31:00,16237000000.0,15018000000.0,,,1778000000.0,1644000000.0,2853000000.0,3456000000.0,,,,,,
9628,燦ホールディングス株式会社,2025-03-31,2025-06-26T09:10:00,20427000000.0,18502000000.0,,,4721000000.0,2363000000.0,5476000000.0,3170000000.0,,,,,,
9627,株式会社アインホールディングス,2025-04-30,2025-07-31T10:56:00,456804000000.0,399824000000.0,,,9268000000.0,11409000000.0,23146000000.0,23023000000.0,,,,,,
9625,株式会社セレスポ,2025-03-31,2025-06-18T15:57:00,13667390000.0,8959015000.0,,,-764989000.0,-269442000.0,510256000.0,-1083983000.0,,,,,,
9621,株式会社建設技術研究所,2024-12-31,2025-03-26T14:45:00,97678000000.0,93057000000.0,,,6785000000.0,7569000000.0,2410000000.0,874000000.0,,,,,,
9619,株式会社イチネンホールディングス,2025-03-31,2025-06-17T10:50:00,154920000000.0,138253000000.0,,,6656000000.0,12265000000.0,4018000000.0,5266000000.0,,,,,,
9616,株式会社共立メンテナンス,2025-03-31,2025-06-25T10:00:00,228933000000.0,204126000000.0,,,14562000000.0,12414000000.0,29449000000.0,24083000000.0,,,,,,
8570,イオンフィナンシャルサービス株式会社,2025-02-28,2025-05-21T13:38:00,533262000000.0,,,,32454000000.0,,347337000000.0,,,,,,,
9612,株式会社ラックランド,2024-12-31,2025-03-28T15:21:00,47659000000.0,45116000000.0,,,-477000000.0,253000000.0,860000000.0,-141000000.0,,,,,,
9610,ウィルソン・ラーニング　ワールドワイド株式会社,2025-03-31,2025-06-30T15:42:00,1688892000.0,1750828000.0,,,-386041000.0,-518700000.0,-348282000.0,-445838000.0,,,,,,
9600,株式会社アイネット,2025-03-31,2025-06-25T13:01:00,38987494000.0,37763384000.0,,,2259963000.0,2197865000.0,2487011000.0,6665387000.0,,,,,,
9799,旭情報サービス株式会社,2025-03-31,2025-06-25T10:00:00,15820459000.0,14786290000.0,,,1189246000.0,1071208000.0,927101000.0,1066579000.0,,,,,,
9795,株式会社ステップ,2025-09-30,2025-12-10T14:43:00,15846886000.0,15098935000.0,,,2689679000.0,2508598000.0,3382978000.0,3383172000.0,,,,,,
4665,株式会社ダスキン,2025-03-31,2025-06-23T15:15:00,188791000000.0,178782000000.0,,,8854000000.0,4639000000.0,16683000000.0,11093000000.0,,,,,,
9793,株式会社ダイセキ,2025-02-28,2025-05-21T09:22:00,67304000000.0,,,,10090000000.0,,13825000000.0,,,,,,,
9791,株式会社ビケンテクノ,2025-03-31,2025-06-26T16:09:00,34669302000.0,38371515000.0,,,979058000.0,1310417000.0,-2151613000.0,3506150000.0,,,,,,
9790,福井コンピュータホールディングス株式会社,2025-03-31,2025-06-19T13:04:00,14717000000.0,13821000000.0,,,4189000000.0,3817000000.0,5652000000.0,4858000000.0,,,,,,
9788,株式会社ナック,2025-03-31,2025-06-26T16:00:00,59791000000.0,54433000000.0,,,1365000000.0,1436000000.0,4136000000.0,-10000000.0,,,,,,
9782,株式会社ディーエムエス,2025-03-31,2025-06-24T09:18:00,27555696000.0,26903878000.0,,,841330000.0,1519955000.0,669455000.0,879305000.0,,,,,,
9778,株式会社昴,2025-02-28,2025-05-28T09:03:00,3450884000.0,,,,57904000.0,,161805000.0,,,,,,,
9780,株式会社ハリマビステム,2025-03-31,2025-06-27T13:23:00,28025552000.0,26618066000.0,,,865549000.0,758257000.0,850134000.0,1178819000.0,,,,,,
8566,リコーリース株式会社,2025-03-31,2025-06-20T15:25:00,312156000000.0,308335000000.0,,,15658000000.0,11278000000.0,-94396000000.0,-753000000.0,,,,,,
9776,札幌臨床検査センター株式会社,2025-03-31,2025-06-26T12:22:00,20131372000.0,19682319000.0,,,458006000.0,362954000.0,730911000.0,1077593000.0,,,,,,
9739,ＮＳＷ株式会社,2025-03-31,2025-06-23T11:53:00,50028000000.0,50299000000.0,,,3662000000.0,4287000000.0,3849000000.0,5051000000.0,,,,,,
4641,株式会社アルプス技研,2024-12-31,2025-03-27T10:00:00,49858533000.0,46216036000.0,,,3688627000.0,3688744000.0,4584532000.0,3213647000.0,,,,,,
4645,株式会社市進ホールディングス,2025-02-28,2025-05-29T13:15:00,18459134000.0,,,,329227000.0,,1189440000.0,,,,,,,
4644,イマジニア株式会社,2025-03-31,2025-06-19T11:33:00,6486155000.0,5960535000.0,,,631359000.0,421677000.0,-42544000.0,175224000.0,,,,,,
7502,株式会社プラザホールディングス,2025-03-31,2025-06-30T16:03:00,18644069000.0,17638340000.0,,,275856000.0,58775000.0,753704000.0,525872000.0,,,,,,
4651,株式会社サニックスホールディングス,2025-03-31,2025-06-25T17:03:00,45352000000.0,47167000000.0,,,1482000000.0,2695000000.0,2648000000.0,4821000000.0,,,,,,
4657,株式会社環境管理センター,2025-06-30,2025-09-22T09:24:00,4264138000.0,4513533000.0,,,-21924000.0,174603000.0,,,,,,,,
4658,日本空調サービス株式会社,2025-03-31,2025-06-24T15:30:00,64438000000.0,58232000000.0,,,3110000000.0,2732000000.0,4961000000.0,2421000000.0,,,,,,
4659,株式会社エイジス,2025-03-31,2025-06-23T15:00:00,33960587000.0,29995241000.0,,,2110432000.0,1910767000.0,3126304000.0,1978338000.0,,,,,,
4662,株式会社フォーカスシステムズ,2025-03-31,2025-06-30T15:00:00,32555008000.0,31509959000.0,,,1566852000.0,1406501000.0,1839907000.0,817082000.0,,,,,,
4664,株式会社アール・エス・シー,2025-03-31,2025-06-30T10:00:00,8844777000.0,8096894000.0,,,186976000.0,244837000.0,22089000.0,324961000.0,,,,,,
4666,パーク二四株式会社（定款上の商号　パーク２４株式会社）,2024-10-31,2025-01-30T15:33:00,370913000000.0,330123000000.0,,,18625000000.0,17542000000.0,54176000000.0,48188000000.0,,,,,,
4667,アイサンテクノロジー株式会社,2025-03-31,2025-06-20T15:33:00,5618233000.0,5210183000.0,,,228773000.0,408070000.0,,,,,,,,
4668,株式会社明光ネットワークジャパン,2025-08-31,2025-11-20T15:10:00,24827000000.0,22579000000.0,,,1727000000.0,489000000.0,1734000000.0,742000000.0,,,,,,
4671,株式会社ファルコホールディングス,2025-03-31,2025-06-23T16:53:00,43313000000.0,43007000000.0,,,1920000000.0,1666000000.0,2619000000.0,3433000000.0,,,,,,
4673,川崎地質株式会社,2024-11-30,2025-02-28T12:03:00,9215306000.0,9158753000.0,,,340303000.0,124958000.0,,,,,,,,
4674,株式会社クレスコ,2025-03-31,2025-06-19T15:30:00,58760592000.0,52755890000.0,,,4405567000.0,3728580000.0,4762042000.0,3213864000.0,,,,,,
4679,株式会社　田　谷,2025-03-31,2025-06-18T09:31:00,5444575000.0,5839861000.0,,,-62325000.0,-158820000.0,-67111000.0,-25414000.0,,,,,,
4678,株式会社　秀英予備校,2025-03-31,2025-06-27T12:08:00,10016557000.0,9674797000.0,,,297905000.0,-432969000.0,,,,,,,,
4685,株式会社菱友システムズ,2025-03-31,2025-06-24T16:41:00,42763000000.0,37062000000.0,,,3547000000.0,2556000000.0,3019000000.0,4088000000.0,,,,,,
4686,株式会社ジャストシステム,2025-03-31,2025-06-27T16:00:00,44551000000.0,40985000000.0,,,12327000000.0,11636000000.0,15022000000.0,13050000000.0,,,,,,
4687,ＴＤＣソフト株式会社,2025-03-31,2025-06-25T09:12:00,44417991000.0,39698050000.0,,,3433822000.0,3089406000.0,2962125000.0,3022502000.0,,,,,,
